id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label,confidence_score,confidence_pct,is_synthetic,data_source
SYN-URBN-TAM-PKG-20F,[SYNTHETIC] Tamil Nadu Flyover Grade Separator Complex (Pkg 20F),Urban Development,Tamil Nadu,L&T Construction,MMRDA,Ministry of Housing & Urban Affairs,2019-01-03,4741.6,51.2,47.4,3.8,0.988,2,0.391,0.642,92.8,1.55,0.661,31.2,72.4,0.47,0.0,3,on_track,0,86.7,86.7,True,SYNTHETIC
SYN-TELC-BIH-PKG-21G,[SYNTHETIC] Bihar High-Altitude Satellite Earth Ground Node (Pkg 21G),Telecom,Bihar,TCIL,BBNL (BharatNet),Ministry of Communications,2019-01-03,4108.7,22.5,37.8,-15.3,1.237,24,0.332,0.9,53.1,0.74,0.552,17.9,62.6,0.286,0.0,93,high_risk,2,89.1,89.1,True,SYNTHETIC
SYN-HWAY-WES-PKG-22H,[SYNTHETIC] West Bengal Multi-Span Elevated Viaduct Stretch (Pkg 22H),Highways,West Bengal,Ashoka Buildcon,NHIDCL,Ministry of Road Transport and Highways,2019-01-07,4167.1,21.1,37.3,-16.2,1.242,18,0.4,0.824,50.0,1.2,0.749,45.5,67.3,0.493,0.0,114,high_risk,2,85.1,85.1,True,SYNTHETIC
SYN-HWAY-GUJ-PKG-23A,[SYNTHETIC] Gujarat Multi-Span Elevated Viaduct Stretch (Pkg 23A),Highways,Gujarat,Dilip Buildcon Ltd.,BRO,Ministry of Road Transport and Highways,2019-01-09,4477.2,67.2,66.7,0.5,1.01,0,0.313,0.565,83.5,2.03,0.772,49.4,55.4,0.395,0.0,10,on_track,0,93.7,93.7,True,SYNTHETIC
SYN-RLWY-GUJ-PKG-24B,[SYNTHETIC] Gujarat Mountain Tunnel & Gauge Conversion (Pkg 24B),Railways,Gujarat,Kalpataru Projects,IRCON,Ministry of Railways,2019-01-12,624.6,35.9,55.2,-19.3,1.44,6,0.305,0.512,42.3,0.74,0.715,41.8,55.9,0.416,0.0,120,high_risk,2,89.1,89.1,True,SYNTHETIC
SYN-WATR-UTT-PKG-25C,[SYNTHETIC] Uttar Pradesh Urban Potable Water Treatment Plant (Pkg 25C),Water,Uttar Pradesh,GVPR Engineers,State Water Resource Dept,Ministry of Jal Shakti,2019-01-15,4992.1,19.3,38.4,-19.1,1.397,12,0.269,0.601,49.3,0.73,0.585,57.5,73.8,0.242,0.0,126,high_risk,2,78.1,78.1,True,SYNTHETIC
SYN-WATR-MAD-PKG-01D,[SYNTHETIC] Madhya Pradesh Inter-River Basin Transfer Aqueduct (Pkg 01D),Water,Madhya Pradesh,GVPR Engineers,NWDA,Ministry of Jal Shakti,2019-01-15,3317.5,75.6,72.3,3.3,1.027,0,0.539,0.466,98.5,2.17,0.744,25.3,55.8,0.267,0.0,14,on_track,0,95.3,95.3,True,SYNTHETIC
SYN-URBN-MEG-PKG-02E,[SYNTHETIC] Meghalaya Smart City Integrated Command Centre (Pkg 02E),Urban Development,Meghalaya,Tata Projects,Maha Metro,Ministry of Housing & Urban Affairs,2019-01-15,3486.4,22.9,48.7,-25.8,1.65,24,0.793,0.966,41.2,0.65,0.758,25.7,64.3,0.56,0.0,355,critical,2,82.0,82.0,True,SYNTHETIC
SYN-HWAY-TEL-PKG-03F,[SYNTHETIC] Telangana Multi-Span Elevated Viaduct Stretch (Pkg 03F),Highways,Telangana,Ashoka Buildcon,BRO,Ministry of Road Transport and Highways,2019-01-19,253.9,18.4,52.1,-33.7,1.685,36,0.415,0.47,21.0,0.71,0.703,30.2,58.7,0.385,0.0,191,critical,2,76.5,76.5,True,SYNTHETIC
SYN-RLWY-LAK-PKG-04G,[SYNTHETIC] Lakshadweep Dedicated Freight Corridor Section (Pkg 04G),Railways,Lakshadweep,Kalpataru Projects,NHSRCL,Ministry of Railways,2019-01-23,881.6,25.6,56.1,-30.5,1.682,18,0.596,0.85,39.1,0.65,0.837,59.0,67.2,0.373,0.0,337,critical,2,95.5,95.5,True,SYNTHETIC
SYN-RLWY-NAG-PKG-05H,[SYNTHETIC] Nagaland Dedicated Freight Corridor Section (Pkg 05H),Railways,Nagaland,KEC International,NHSRCL,Ministry of Railways,2019-01-24,1064.9,34.6,38.5,-3.9,1.207,2,0.835,0.772,78.7,1.01,0.744,59.4,59.4,0.467,0.0,83,moderate,1,89.5,89.5,True,SYNTHETIC
SYN-POWR-MEG-PKG-06A,[SYNTHETIC] Meghalaya 765kV Green Energy Transmission Link (Pkg 06A),Power,Meghalaya,L&T Power Transmission,NTPC,Ministry of Power,2019-01-27,1265.7,63.0,60.5,2.5,0.99,2,0.798,0.932,82.3,2.19,0.619,21.1,66.3,0.344,0.0,3,on_track,0,94.0,94.0,True,SYNTHETIC
SYN-WATR-UTT-PKG-07B,[SYNTHETIC] Uttar Pradesh Inter-River Basin Transfer Aqueduct (Pkg 07B),Water,Uttar Pradesh,Vishwa Infrastructures,PPA / CWC,Ministry of Jal Shakti,2019-02-02,798.8,28.0,25.9,2.1,1.069,0,0.226,0.583,80.3,1.44,0.705,57.8,58.8,0.338,0.0,3,on_track,0,92.7,92.7,True,SYNTHETIC
SYN-URBN-ODI-PKG-08C,[SYNTHETIC] Odisha Smart City Integrated Command Centre (Pkg 08C),Urban Development,Odisha,Tata Projects,Smart City SPV,Ministry of Housing & Urban Affairs,2019-02-02,3218.1,62.4,58.9,3.5,0.983,0,0.666,0.876,81.7,1.8,0.61,28.2,67.7,0.623,0.0,6,on_track,0,94.6,94.6,True,SYNTHETIC
SYN-HWAY-DAD-PKG-09D,[SYNTHETIC] Dadra & Nagar Haveli and Daman & Diu Multi-Span Elevated Viaduct Stretch (Pkg 09D),Highways,Dadra & Nagar Haveli and Daman & Diu,L&T Construction,NHIDCL,Ministry of Road Transport and Highways,2019-02-12,1423.0,28.5,27.0,1.5,0.991,2,0.382,0.601,97.4,1.69,0.628,28.4,69.8,0.455,0.0,25,on_track,0,91.0,91.0,True,SYNTHETIC
SYN-HWAY-JHA-PKG-10E,[SYNTHETIC] Jharkhand Multi-Span Elevated Viaduct Stretch (Pkg 10E),Highways,Jharkhand,Dilip Buildcon Ltd.,State PWD Highways,Ministry of Road Transport and Highways,2019-02-14,1656.3,88.0,84.4,3.6,1.047,0,0.68,0.582,79.2,1.85,0.74,24.5,74.4,0.507,0.0,10,on_track,0,89.1,89.1,True,SYNTHETIC
SYN-POWR-ODI-PKG-11F,[SYNTHETIC] Odisha Run-of-River Hydroelectric Spillway (Pkg 11F),Power,Odisha,Kalpataru Power Transmission,NTPC,Ministry of Power,2019-02-17,1656.1,40.2,52.0,-11.8,1.345,12,0.621,0.814,59.4,1.18,0.594,24.2,65.0,0.361,0.0,138,high_risk,2,75.3,75.3,True,SYNTHETIC
SYN-WATR-ASS-PKG-12G,[SYNTHETIC] Assam Inter-River Basin Transfer Aqueduct (Pkg 12G),Water,Assam,Larsen & Toubro Water,WAPCOS,Ministry of Jal Shakti,2019-02-19,2735.2,77.3,80.8,-3.5,1.269,2,0.667,0.945,56.6,1.26,0.621,36.7,56.8,0.319,0.0,45,moderate,1,89.1,89.1,True,SYNTHETIC
SYN-URBN-PUN-PKG-13H,[SYNTHETIC] Punjab Smart City Integrated Command Centre (Pkg 13H),Urban Development,Punjab,Tata Projects,UPMRC,Ministry of Housing & Urban Affairs,2019-02-22,2365.0,66.9,68.9,-2.0,1.009,0,0.166,0.365,79.3,1.79,0.566,32.8,56.9,0.588,0.0,10,on_track,0,85.4,85.4,True,SYNTHETIC
SYN-TELC-UTT-PKG-14A,[SYNTHETIC] Uttarakhand 4G/5G Border & Island Connectivity (Pkg 14A),Telecom,Uttarakhand,HFCL,RailTel,Ministry of Communications,2019-02-23,1224.1,45.3,73.4,-28.1,1.733,18,0.919,0.818,22.2,0.61,0.579,27.0,57.9,0.39,0.0,348,critical,2,78.4,78.4,True,SYNTHETIC
SYN-HWAY-RAJ-PKG-15B,[SYNTHETIC] Rajasthan Economic Expressway Corridor (Pkg 15B),Highways,Rajasthan,L&T Construction,NHAI,Ministry of Road Transport and Highways,2019-02-23,3604.3,31.0,40.6,-9.6,1.197,2,0.301,0.208,70.4,1.35,0.796,39.4,69.7,0.479,0.0,79,moderate,1,79.0,79.0,True,SYNTHETIC
SYN-RLWY-CHA-PKG-16C,[SYNTHETIC] Chandigarh High-Speed Bullet Rail Viaduct (Pkg 16C),Railways,Chandigarh,Afcons Infrastructure,NHSRCL,Ministry of Railways,2019-02-24,4670.7,32.9,66.3,-33.4,1.772,18,0.261,0.34,46.3,0.5,0.834,45.5,57.1,0.367,0.0,389,critical,2,80.6,80.6,True,SYNTHETIC
SYN-POWR-AND-PKG-17D,[SYNTHETIC] Andaman & Nicobar 800kV HVDC Inter-Regional Dipole Line (Pkg 17D),Power,Andaman & Nicobar,BHEL,SJVN,Ministry of Power,2019-02-25,2875.0,30.7,27.6,3.1,1.045,0,0.718,0.868,94.6,2.06,0.759,15.7,68.5,0.457,0.0,3,on_track,0,98.0,98.0,True,SYNTHETIC
SYN-POWR-DEL-PKG-18E,[SYNTHETIC] Delhi 765kV Green Energy Transmission Link (Pkg 18E),Power,Delhi,L&T Power Transmission,NTPC,Ministry of Power,2019-03-01,5185.8,27.0,42.0,-15.0,1.239,18,0.259,0.395,57.6,1.21,0.776,18.0,57.7,0.302,0.0,123,high_risk,2,87.7,87.7,True,SYNTHETIC
SYN-WATR-BIH-PKG-19F,[SYNTHETIC] Bihar Inter-River Basin Transfer Aqueduct (Pkg 19F),Water,Bihar,Vishwa Infrastructures,NWDA,Ministry of Jal Shakti,2019-03-05,1618.2,68.6,66.8,1.8,0.965,2,0.273,0.848,91.5,1.53,0.639,35.6,70.6,0.247,0.0,20,on_track,0,97.9,97.9,True,SYNTHETIC
SYN-TELC-GUJ-PKG-20G,[SYNTHETIC] Gujarat 100Gbps DWDM National Backbone Link (Pkg 20G),Telecom,Gujarat,HFCL,RailTel,Ministry of Communications,2019-03-05,1309.4,32.4,38.9,-6.5,1.223,2,0.401,0.54,51.2,1.02,0.557,21.9,64.3,0.305,0.0,33,moderate,1,87.8,87.8,True,SYNTHETIC
SYN-HWAY-GOA-PKG-21H,[SYNTHETIC] Goa Greenfield Freight Motorway Section (Pkg 21H),Highways,Goa,Ashoka Buildcon,MoRTH,Ministry of Road Transport and Highways,2019-03-10,1982.3,85.2,88.7,-3.5,1.167,12,0.601,0.788,69.2,0.99,0.852,40.7,67.8,0.402,0.0,67,moderate,1,90.4,90.4,True,SYNTHETIC
SYN-HWAY-ODI-PKG-22A,[SYNTHETIC] Odisha Multi-Span Elevated Viaduct Stretch (Pkg 22A),Highways,Odisha,PNC Infratech,MoRTH,Ministry of Road Transport and Highways,2019-03-12,4799.6,70.9,77.0,-6.1,1.171,12,0.672,0.875,63.7,1.0,0.719,24.4,62.0,0.424,0.0,64,moderate,1,83.0,83.0,True,SYNTHETIC
SYN-POWR-TEL-PKG-23B,[SYNTHETIC] Telangana Ultra-Mega Solar Park Substation Grid (Pkg 23B),Power,Telangana,Sterlite Power,NEEPCO,Ministry of Power,2019-03-12,4991.8,37.6,49.3,-11.7,1.322,12,0.383,0.57,41.9,1.1,0.587,28.1,59.1,0.421,0.0,152,high_risk,2,76.4,76.4,True,SYNTHETIC
SYN-POWR-JAM-PKG-24C,[SYNTHETIC] Jammu & Kashmir Gas-Insulated GIS Substation Node (Pkg 24C),Power,Jammu & Kashmir,KEC International,SJVN,Ministry of Power,2019-03-16,3376.4,54.4,71.6,-17.2,1.348,6,0.944,0.719,40.5,0.88,0.7,23.9,66.1,0.259,0.0,93,high_risk,2,87.6,87.6,True,SYNTHETIC
SYN-URBN-ASS-PKG-25D,[SYNTHETIC] Assam Flyover Grade Separator Complex (Pkg 25D),Urban Development,Assam,J. Kumar Infraprojects,Smart City SPV,Ministry of Housing & Urban Affairs,2019-03-16,3571.5,51.4,67.1,-15.7,1.497,12,0.677,0.972,37.7,0.72,0.633,29.7,72.5,0.619,0.0,102,high_risk,2,86.6,86.6,True,SYNTHETIC
SYN-URBN-ODI-PKG-01E,[SYNTHETIC] Odisha Flyover Grade Separator Complex (Pkg 01E),Urban Development,Odisha,L&T Construction,UPMRC,Ministry of Housing & Urban Affairs,2019-03-18,3006.7,76.5,84.8,-8.3,1.187,2,0.643,0.855,54.5,1.15,0.541,41.7,66.5,0.506,0.0,70,moderate,1,81.4,81.4,True,SYNTHETIC
SYN-TELC-ARU-PKG-02F,[SYNTHETIC] Arunachal Pradesh Strategic Submarine OFC Coastal Terminal (Pkg 02F),Telecom,Arunachal Pradesh,Tejas Networks,RailTel,Ministry of Communications,2019-03-19,1951.1,41.0,68.6,-27.6,1.85,36,0.969,0.915,27.9,0.75,0.581,19.0,55.4,0.286,0.0,357,critical,2,94.1,94.1,True,SYNTHETIC
SYN-RLWY-RAJ-PKG-03G,[SYNTHETIC] Rajasthan High-Speed Bullet Rail Viaduct (Pkg 03G),Railways,Rajasthan,KEC International,RVNL,Ministry of Railways,2019-03-20,3344.0,73.7,73.5,0.2,0.991,0,0.334,0.167,89.9,1.39,0.827,62.5,68.7,0.427,0.0,9,on_track,0,89.3,89.3,True,SYNTHETIC
SYN-POWR-KAR-PKG-04H,[SYNTHETIC] Karnataka 765kV Green Energy Transmission Link (Pkg 04H),Power,Karnataka,L&T Power Transmission,NEEPCO,Ministry of Power,2019-03-24,3119.5,67.2,66.0,1.2,1.0,0,0.522,0.665,98.5,2.09,0.668,29.4,65.4,0.356,0.0,10,on_track,0,87.1,87.1,True,SYNTHETIC
SYN-POWR-WES-PKG-05A,[SYNTHETIC] West Bengal Run-of-River Hydroelectric Spillway (Pkg 05A),Power,West Bengal,Sterlite Power,NHPC,Ministry of Power,2019-03-25,5280.1,39.3,54.7,-15.4,1.255,12,0.473,0.856,40.6,0.86,0.681,17.2,63.2,0.385,0.0,103,high_risk,2,88.1,88.1,True,SYNTHETIC
SYN-WATR-JHA-PKG-06B,[SYNTHETIC] Jharkhand Jal Jeevan Mission Bulk Water Pipeline (Pkg 06B),Water,Jharkhand,Patel Engineering,State Water Resource Dept,Ministry of Jal Shakti,2019-03-30,3069.3,82.6,88.7,-6.1,1.193,12,0.713,0.581,75.8,1.44,0.657,35.3,65.0,0.305,0.0,41,moderate,1,79.8,79.8,True,SYNTHETIC
SYN-TELC-MEG-PKG-07C,[SYNTHETIC] Meghalaya BharatNet Phase-III Optical Fiber Grid (Pkg 07C),Telecom,Meghalaya,Tejas Networks,RailTel,Ministry of Communications,2019-04-03,3207.9,45.3,77.2,-31.9,1.598,24,0.783,0.984,24.1,0.57,0.453,26.4,69.8,0.407,0.0,529,critical,2,94.2,94.2,True,SYNTHETIC
SYN-TELC-TRI-PKG-08D,[SYNTHETIC] Tripura 100Gbps DWDM National Backbone Link (Pkg 08D),Telecom,Tripura,TCIL,BBNL (BharatNet),Ministry of Communications,2019-04-05,2781.8,57.1,69.1,-12.0,1.33,12,0.691,0.725,54.2,0.76,0.647,25.1,64.8,0.253,0.0,134,high_risk,2,82.9,82.9,True,SYNTHETIC
SYN-RLWY-KAR-PKG-09E,[SYNTHETIC] Karnataka Mountain Tunnel & Gauge Conversion (Pkg 09E),Railways,Karnataka,Tata Projects,DFCCIL,Ministry of Railways,2019-04-09,2252.5,24.4,55.5,-31.1,1.552,24,0.513,0.607,42.3,0.85,0.762,64.8,64.0,0.353,0.0,218,critical,2,78.1,78.1,True,SYNTHETIC
SYN-POWR-JAM-PKG-10F,[SYNTHETIC] Jammu & Kashmir Ultra-Mega Solar Park Substation Grid (Pkg 10F),Power,Jammu & Kashmir,L&T Power Transmission,NEEPCO,Ministry of Power,2019-04-16,1809.6,56.2,59.7,-3.5,1.226,2,0.933,0.691,77.8,0.98,0.508,24.4,73.9,0.39,0.0,43,moderate,1,90.4,90.4,True,SYNTHETIC
SYN-WATR-HIM-PKG-11G,[SYNTHETIC] Himachal Pradesh Urban Potable Water Treatment Plant (Pkg 11G),Water,Himachal Pradesh,NCC Limited,NWDA,Ministry of Jal Shakti,2019-04-25,5075.6,32.1,48.9,-16.8,1.367,12,0.856,0.737,46.8,0.82,0.739,46.1,56.2,0.327,0.0,154,high_risk,2,77.5,77.5,True,SYNTHETIC
SYN-URBN-PUN-PKG-12H,[SYNTHETIC] Punjab Smart City Integrated Command Centre (Pkg 12H),Urban Development,Punjab,Reliance Infra - Astaldi JV,UPMRC,Ministry of Housing & Urban Affairs,2019-04-28,3845.5,61.3,72.0,-10.7,1.243,6,0.192,0.327,57.9,0.87,0.622,38.4,61.9,0.634,0.0,169,high_risk,2,91.2,91.2,True,SYNTHETIC
SYN-TELC-MIZ-PKG-13A,[SYNTHETIC] Mizoram Strategic Submarine OFC Coastal Terminal (Pkg 13A),Telecom,Mizoram,TCIL,USOF (DoT),Ministry of Communications,2019-04-28,931.8,57.8,71.6,-13.8,1.303,6,0.802,0.717,63.4,1.06,0.535,26.7,63.4,0.311,0.0,93,high_risk,2,83.2,83.2,True,SYNTHETIC
SYN-TELC-UTT-PKG-14B,[SYNTHETIC] Uttarakhand 100Gbps DWDM National Backbone Link (Pkg 14B),Telecom,Uttarakhand,ITI Limited,TCIL,Ministry of Communications,2019-05-02,1257.7,23.0,37.7,-14.7,1.639,6,0.953,0.814,53.4,1.1,0.593,22.2,58.8,0.223,0.0,166,high_risk,2,76.9,76.9,True,SYNTHETIC
SYN-RLWY-GOA-PKG-15C,[SYNTHETIC] Goa Dedicated Freight Corridor Section (Pkg 15C),Railways,Goa,Tata Projects,RVNL,Ministry of Railways,2019-05-18,3575.8,46.5,52.1,-5.6,1.177,2,0.592,0.793,51.0,1.5,0.777,60.9,66.5,0.42,0.0,37,moderate,1,85.8,85.8,True,SYNTHETIC
SYN-POWR-BIH-PKG-16D,[SYNTHETIC] Bihar Run-of-River Hydroelectric Spillway (Pkg 16D),Power,Bihar,L&T Power Transmission,NHPC,Ministry of Power,2019-05-22,788.6,46.5,44.6,1.9,1.02,2,0.305,0.864,98.8,1.68,0.701,28.2,62.5,0.312,0.0,18,on_track,0,97.6,97.6,True,SYNTHETIC
SYN-POWR-UTT-PKG-17E,[SYNTHETIC] Uttar Pradesh Ultra-Mega Solar Park Substation Grid (Pkg 17E),Power,Uttar Pradesh,L&T Power Transmission,NHPC,Ministry of Power,2019-05-26,2255.2,34.3,49.7,-15.4,1.446,12,0.206,0.554,62.6,1.11,0.694,29.1,72.2,0.373,0.0,175,high_risk,2,75.2,75.2,True,SYNTHETIC
SYN-WATR-MAH-PKG-18F,[SYNTHETIC] Maharashtra Urban Potable Water Treatment Plant (Pkg 18F),Water,Maharashtra,NCC Limited,PPA / CWC,Ministry of Jal Shakti,2019-05-31,5084.1,49.7,53.8,-4.1,1.055,2,0.501,0.805,57.9,1.21,0.668,33.6,59.1,0.345,0.0,33,moderate,1,81.4,81.4,True,SYNTHETIC
SYN-TELC-RAJ-PKG-19G,[SYNTHETIC] Rajasthan 4G/5G Border & Island Connectivity (Pkg 19G),Telecom,Rajasthan,L&T Technology Services,TCIL,Ministry of Communications,2019-06-04,1685.7,51.2,49.7,1.5,1.035,2,0.255,0.228,84.5,2.13,0.472,24.7,69.6,0.245,0.0,21,on_track,0,94.5,94.5,True,SYNTHETIC
SYN-HWAY-RAJ-PKG-20H,[SYNTHETIC] Rajasthan Multi-Span Elevated Viaduct Stretch (Pkg 20H),Highways,Rajasthan,Dilip Buildcon Ltd.,State PWD Highways,Ministry of Road Transport and Highways,2019-06-04,3420.4,39.3,37.5,1.8,0.989,2,0.337,0.212,96.6,2.22,0.61,34.3,57.3,0.47,0.0,17,on_track,0,95.0,95.0,True,SYNTHETIC
SYN-HWAY-AND-PKG-21A,[SYNTHETIC] Andhra Pradesh Greenfield Freight Motorway Section (Pkg 21A),Highways,Andhra Pradesh,KNR Constructions,BRO,Ministry of Road Transport and Highways,2019-06-11,4513.1,56.7,80.1,-23.4,1.528,18,0.427,0.766,34.0,0.88,0.752,30.7,70.7,0.456,0.0,382,critical,2,87.2,87.2,True,SYNTHETIC
SYN-RLWY-JHA-PKG-22B,[SYNTHETIC] Jharkhand Double Track Electrification Package (Pkg 22B),Railways,Jharkhand,KEC International,IRCON,Ministry of Railways,2019-06-18,1340.1,55.7,52.1,3.6,1.086,0,0.649,0.577,80.5,1.76,0.822,59.6,61.6,0.447,0.0,19,on_track,0,84.5,84.5,True,SYNTHETIC
SYN-POWR-JHA-PKG-23C,[SYNTHETIC] Jharkhand Run-of-River Hydroelectric Spillway (Pkg 23C),Power,Jharkhand,BHEL,NHPC,Ministry of Power,2019-06-20,2309.8,61.9,58.5,3.4,1.015,0,0.621,0.543,89.3,1.72,0.677,30.1,72.9,0.381,0.0,9,on_track,0,89.3,89.3,True,SYNTHETIC
SYN-WATR-GUJ-PKG-24D,[SYNTHETIC] Gujarat Urban Potable Water Treatment Plant (Pkg 24D),Water,Gujarat,Vishwa Infrastructures,NWDA,Ministry of Jal Shakti,2019-06-23,3665.3,70.9,76.9,-6.0,1.255,2,0.411,0.548,56.8,1.45,0.576,51.3,55.9,0.299,0.0,79,moderate,1,81.5,81.5,True,SYNTHETIC
SYN-TELC-ASS-PKG-25E,[SYNTHETIC] Assam High-Altitude Satellite Earth Ground Node (Pkg 25E),Telecom,Assam,TCIL,BSNL,Ministry of Communications,2019-07-06,3031.4,37.5,61.3,-23.8,1.613,36,0.678,0.959,19.9,0.68,0.575,23.4,71.1,0.263,0.0,403,critical,2,94.6,94.6,True,SYNTHETIC
SYN-TELC-LAK-PKG-01F,[SYNTHETIC] Lakshadweep 100Gbps DWDM National Backbone Link (Pkg 01F),Telecom,Lakshadweep,TCIL,TCIL,Ministry of Communications,2019-07-10,3412.6,49.2,57.9,-8.7,1.285,2,0.581,0.808,77.5,1.37,0.527,16.1,74.8,0.183,0.0,48,moderate,1,83.7,83.7,True,SYNTHETIC
SYN-HWAY-HAR-PKG-02G,[SYNTHETIC] Haryana Strategic Border Highway NH-Pass (Pkg 02G),Highways,Haryana,KNR Constructions,MoRTH,Ministry of Road Transport and Highways,2019-07-11,4034.7,38.2,54.9,-16.7,1.409,18,0.17,0.314,42.8,1.06,0.744,47.9,69.0,0.568,0.0,168,high_risk,2,83.7,83.7,True,SYNTHETIC
SYN-POWR-MIZ-PKG-03H,[SYNTHETIC] Mizoram 800kV HVDC Inter-Regional Dipole Line (Pkg 03H),Power,Mizoram,KEC International,NEEPCO,Ministry of Power,2019-07-12,1048.8,45.0,53.1,-8.1,1.141,6,0.868,0.866,61.7,1.31,0.659,24.5,63.8,0.412,0.0,74,moderate,1,90.1,90.1,True,SYNTHETIC
SYN-WATR-MIZ-PKG-04A,[SYNTHETIC] Mizoram Jal Jeevan Mission Bulk Water Pipeline (Pkg 04A),Water,Mizoram,NCC Limited,NWDA,Ministry of Jal Shakti,2019-07-15,1781.3,65.8,75.1,-9.3,1.139,6,0.862,0.775,75.4,1.15,0.714,34.0,63.9,0.296,0.0,37,moderate,1,85.4,85.4,True,SYNTHETIC
SYN-WATR-HIM-PKG-05B,[SYNTHETIC] Himachal Pradesh Inter-River Basin Transfer Aqueduct (Pkg 05B),Water,Himachal Pradesh,Vishwa Infrastructures,Jal Nigam,Ministry of Jal Shakti,2019-07-16,3346.6,52.0,65.0,-13.0,1.426,18,0.894,0.839,51.0,1.12,0.78,32.1,69.3,0.325,0.0,139,high_risk,2,84.7,84.7,True,SYNTHETIC
SYN-TELC-DAD-PKG-06C,[SYNTHETIC] Dadra & Nagar Haveli and Daman & Diu Strategic Submarine OFC Coastal Terminal (Pkg 06C),Telecom,Dadra & Nagar Haveli and Daman & Diu,L&T Technology Services,BBNL (BharatNet),Ministry of Communications,2019-07-17,2120.6,52.9,57.7,-4.8,1.236,2,0.341,0.682,65.9,1.22,0.477,26.8,65.8,0.178,0.0,69,moderate,1,93.5,93.5,True,SYNTHETIC
SYN-HWAY-JAM-PKG-07D,[SYNTHETIC] Jammu & Kashmir Multi-Span Elevated Viaduct Stretch (Pkg 07D),Highways,Jammu & Kashmir,KNR Constructions,MoRTH,Ministry of Road Transport and Highways,2019-07-18,613.4,46.0,62.7,-16.7,1.475,18,0.948,0.678,35.6,0.9,0.578,50.6,64.7,0.422,0.0,175,high_risk,2,89.0,89.0,True,SYNTHETIC
SYN-RLWY-MAD-PKG-08E,[SYNTHETIC] Madhya Pradesh Double Track Electrification Package (Pkg 08E),Railways,Madhya Pradesh,Tata Projects,Indian Railways,Ministry of Railways,2019-07-19,5028.6,72.3,74.3,-2.0,1.062,0,0.548,0.509,97.3,1.53,0.841,47.9,55.9,0.361,0.0,21,on_track,0,84.7,84.7,True,SYNTHETIC
SYN-RLWY-MAH-PKG-09F,[SYNTHETIC] Maharashtra Dedicated Freight Corridor Section (Pkg 09F),Railways,Maharashtra,L&T Construction,DFCCIL,Ministry of Railways,2019-07-20,3702.3,58.4,67.6,-9.2,1.124,2,0.538,0.699,53.5,1.35,0.888,59.4,73.2,0.447,0.0,56,moderate,1,90.6,90.6,True,SYNTHETIC
SYN-WATR-ODI-PKG-10G,[SYNTHETIC] Odisha Jal Jeevan Mission Bulk Water Pipeline (Pkg 10G),Water,Odisha,Megha Engineering (MEIL),NWDA,Ministry of Jal Shakti,2019-08-17,460.4,70.3,66.6,3.7,1.0,0,0.676,0.787,80.8,1.4,0.627,26.5,58.1,0.332,0.0,22,on_track,0,91.3,91.3,True,SYNTHETIC
SYN-WATR-PUD-PKG-11H,[SYNTHETIC] Puducherry Urban Potable Water Treatment Plant (Pkg 11H),Water,Puducherry,Patel Engineering,PPA / CWC,Ministry of Jal Shakti,2019-08-22,1677.8,18.7,35.6,-16.9,1.313,24,0.225,0.635,47.4,1.23,0.781,35.2,60.0,0.313,0.0,114,high_risk,2,80.8,80.8,True,SYNTHETIC
SYN-TELC-HAR-PKG-12A,[SYNTHETIC] Haryana 4G/5G Border & Island Connectivity (Pkg 12A),Telecom,Haryana,TCIL,TCIL,Ministry of Communications,2019-08-22,3469.8,43.5,60.1,-16.6,1.482,18,0.255,0.284,57.0,0.98,0.573,17.1,56.5,0.296,0.0,170,high_risk,2,75.3,75.3,True,SYNTHETIC
SYN-HWAY-AND-PKG-13B,[SYNTHETIC] Andhra Pradesh 4-Lane Ring Road Bypass (Pkg 13B),Highways,Andhra Pradesh,Tata Projects,NHIDCL,Ministry of Road Transport and Highways,2019-08-26,4879.4,50.8,81.2,-30.4,1.723,24,0.417,0.67,28.1,0.9,0.659,36.7,71.6,0.466,0.0,295,critical,2,90.6,90.6,True,SYNTHETIC
SYN-HWAY-ODI-PKG-14C,[SYNTHETIC] Odisha 4-Lane Ring Road Bypass (Pkg 14C),Highways,Odisha,KNR Constructions,NHIDCL,Ministry of Road Transport and Highways,2019-08-31,2625.9,65.9,70.9,-5.0,1.321,12,0.653,0.833,69.8,1.02,0.776,32.9,60.2,0.46,0.0,54,moderate,1,86.0,86.0,True,SYNTHETIC
SYN-RLWY-ASS-PKG-15D,[SYNTHETIC] Assam High-Speed Bullet Rail Viaduct (Pkg 15D),Railways,Assam,Afcons Infrastructure,RVNL,Ministry of Railways,2019-09-02,1174.5,42.9,53.7,-10.8,1.428,18,0.715,0.937,37.2,0.92,0.803,64.6,57.2,0.408,0.0,164,high_risk,2,90.4,90.4,True,SYNTHETIC
