id,name,sector,state,contractor,implementingAgency,ministry,startDate,sanctioned_cost_cr,physical_progress,planned_progress,progress_diff,expenditure_ratio,land_acq_delay_months,geo_difficulty,monsoon_flood_risk,utility_shifting_progress,contractor_liquidity,metrology_compliance_burden,weighbridge_calibration_gap_days,gatc_test_centre_lead_days,packaged_commodities_audit_risk,jan_vishwas_relief_index,delay_days,status,label
NHSRCL-MAHSR-PKG-11G,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 11G - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-01-14,3117.3,59.3,70.0,-10.7,1.148,0,0.299,0.587,60.8,1.94,0.664,51.6,73.6,0.363,0.0,36,at_risk,1
GMRC-AHM-PH2-PKG-11H,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 11H - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-01-16,887.8,82.1,90.0,-7.9,1.283,24,0.254,0.512,74.9,0.69,0.511,41.3,63.6,0.516,0.0,31,at_risk,1
NHAI-AHM-DHO-PKG-11A,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 11A - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-01-16,3080.8,78.9,86.4,-7.5,1.473,18,0.361,0.593,96.5,1.51,0.662,54.7,61.8,0.455,0.0,221,delayed,2
NHSRCL-MAHSR-PKG-12B,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 12B - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-01-17,4495.2,40.8,49.9,-9.1,1.064,0,0.301,0.65,60.1,1.08,0.672,26.9,72.8,0.458,0.0,80,at_risk,1
GMRC-AHM-PH2-PKG-12C,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 12C - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-01-19,832.7,78.5,92.9,-14.4,1.141,0,0.32,0.623,76.8,2.16,0.664,20.2,67.1,0.526,0.0,58,at_risk,1
NHAI-AHM-DHO-PKG-12D,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 12D - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-01-20,1750.0,27.9,30.3,-2.4,1.184,6,0.357,0.551,43.2,1.54,0.671,51.2,59.3,0.452,0.0,76,at_risk,1
NHSRCL-MAHSR-PKG-13E,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 13E - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-01-20,1222.3,54.4,54.2,0.2,1.024,0,0.313,0.487,38.6,1.61,0.941,57.8,68.5,0.447,0.0,25,on_track,0
GMRC-AHM-PH2-PKG-13F,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 13F - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-01-21,1209.7,28.4,35.7,-7.3,1.373,2,0.34,0.559,89.5,1.39,0.746,30.6,62.5,0.473,0.0,46,at_risk,1
NHAI-AHM-DHO-PKG-13G,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 13G - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-01-22,3265.9,66.4,84.8,-18.4,1.773,0,0.324,0.495,48.4,0.9,0.812,29.8,62.3,0.519,0.0,151,delayed,2
NHSRCL-MAHSR-PKG-14H,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 14H - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-01-22,1520.9,72.4,89.0,-16.6,1.587,24,0.374,0.548,50.0,1.31,0.758,26.2,68.0,0.41,0.0,527,delayed,2
GMRC-AHM-PH2-PKG-14A,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 14A - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-01-22,4395.2,85.0,93.3,-8.3,0.85,2,0.377,0.669,55.5,0.99,0.629,44.0,68.4,0.478,0.0,11,on_track,0
NHAI-AHM-DHO-PKG-14B,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 14B - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-01-22,2653.3,21.5,30.1,-8.6,0.959,0,0.356,0.62,43.5,0.83,0.753,36.5,67.3,0.482,0.0,19,on_track,0
NHSRCL-MAHSR-PKG-15C,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 15C - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-01-25,3569.6,24.5,36.9,-12.4,1.116,6,0.338,0.548,76.6,1.09,0.767,33.3,64.2,0.413,0.0,59,at_risk,1
GMRC-AHM-PH2-PKG-15D,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 15D - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-01-26,4774.2,52.9,48.1,4.8,0.963,0,0.358,0.598,79.6,1.51,0.527,35.0,60.1,0.556,0.0,8,on_track,0
NHAI-AHM-DHO-PKG-15E,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 15E - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-01-28,3220.9,35.4,42.8,-7.4,1.299,0,0.313,0.58,98.9,2.14,0.748,55.9,61.4,0.515,0.0,42,at_risk,1
NHSRCL-MAHSR-PKG-16F,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 16F - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-01,1608.2,37.5,55.8,-18.3,1.472,0,0.413,0.631,91.0,1.44,0.737,46.1,63.0,0.391,0.0,460,delayed,2
GMRC-AHM-PH2-PKG-16G,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 16G - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-02,3856.6,33.0,36.7,-3.7,1.052,0,0.359,0.558,91.4,1.91,0.528,41.5,74.2,0.581,0.0,20,on_track,0
NHAI-AHM-DHO-PKG-16H,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 16H - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-02,4001.3,77.1,80.4,-3.3,0.949,0,0.306,0.643,39.1,1.51,0.733,35.5,73.9,0.51,0.0,0,on_track,0
NHSRCL-MAHSR-PKG-17A,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 17A - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-03,5098.2,57.7,68.3,-10.6,1.346,6,0.373,0.58,64.2,1.17,0.727,56.6,66.0,0.465,0.0,106,delayed,2
GMRC-AHM-PH2-PKG-17B,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 17B - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-03,2458.3,28.2,31.6,-3.4,1.093,2,0.403,0.648,74.8,1.05,0.743,20.1,56.7,0.55,0.0,20,on_track,0
NHAI-AHM-DHO-PKG-17C,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 17C - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-04,2535.9,74.1,81.8,-7.7,1.297,0,0.283,0.505,34.3,1.57,0.776,26.8,74.8,0.418,0.0,56,at_risk,1
NHSRCL-MAHSR-PKG-18D,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 18D - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-04,2300.9,83.1,91.3,-8.2,1.361,6,0.35,0.497,68.0,1.01,0.797,59.7,66.5,0.405,0.0,37,at_risk,1
GMRC-AHM-PH2-PKG-18E,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 18E - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-05,1275.3,73.4,79.4,-6.0,1.322,2,0.346,0.561,40.4,1.81,0.732,21.5,55.2,0.587,0.0,78,at_risk,1
NHAI-AHM-DHO-PKG-18F,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 18F - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-05,568.0,32.9,38.7,-5.8,1.211,2,0.317,0.64,56.8,0.99,0.801,42.3,71.5,0.49,0.0,35,at_risk,1
NHSRCL-MAHSR-PKG-19G,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 19G - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-06,4600.3,32.2,37.0,-4.8,0.983,2,0.31,0.606,93.3,1.15,0.66,33.1,68.4,0.469,0.0,15,on_track,0
GMRC-AHM-PH2-PKG-19H,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 19H - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-06,3097.6,79.7,77.0,2.7,0.911,0,0.383,0.564,82.1,2.16,0.473,40.9,63.8,0.479,0.0,2,on_track,0
NHAI-AHM-DHO-PKG-19A,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 19A - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-06,1394.8,39.4,42.8,-3.4,1.012,2,0.31,0.562,37.9,1.54,0.796,39.5,55.8,0.458,0.0,21,on_track,0
NHSRCL-MAHSR-PKG-20B,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 20B - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-07,4710.8,78.2,94.7,-16.5,1.388,2,0.429,0.549,35.1,0.88,0.698,59.3,56.5,0.449,0.0,350,delayed,2
GMRC-AHM-PH2-PKG-20C,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 20C - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-08,4759.1,52.1,51.9,0.2,1.006,6,0.358,0.57,88.9,1.11,0.576,35.6,61.3,0.621,0.0,14,on_track,0
NHAI-AHM-DHO-PKG-20D,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 20D - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-08,1297.4,26.0,34.2,-8.2,1.352,6,0.391,0.712,97.5,0.76,0.768,53.8,56.1,0.589,0.0,70,at_risk,1
NHSRCL-MAHSR-PKG-21E,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 21E - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-09,4472.5,66.1,79.1,-13.0,1.073,6,0.319,0.553,80.3,1.53,0.797,31.1,69.8,0.458,0.0,75,at_risk,1
GMRC-AHM-PH2-PKG-21F,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 21F - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-10,3480.4,82.5,93.8,-11.3,0.992,0,0.402,0.617,33.4,0.7,0.702,38.1,66.1,0.623,0.0,83,at_risk,1
NHAI-AHM-DHO-PKG-21G,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 21G - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-10,4473.4,24.8,32.5,-7.7,1.164,0,0.374,0.499,40.1,1.73,0.71,43.4,57.8,0.414,0.0,68,at_risk,1
NHSRCL-MAHSR-PKG-22H,Mumbai-Ahmedabad High Speed Rail Bullet Train (Pkg 22H - Gujarat),Railways,Gujarat,L&T Construction,NHSRCL,Ministry of Railways,2018-02-11,735.7,46.9,52.5,-5.6,1.341,2,0.315,0.584,39.9,0.65,0.839,28.9,71.2,0.442,0.0,89,at_risk,1
GMRC-AHM-PH2-PKG-22A,Ahmedabad Metro Phase II (Motera-Gandhinagar) (Pkg 22A - Gujarat),Urban Development,Gujarat,Afcons Infrastructure,GMRC,MoHUA / Gujarat PWD,2018-02-11,2280.2,68.9,67.2,1.7,0.932,0,0.369,0.533,86.4,2.18,0.705,29.3,62.5,0.536,0.0,9,on_track,0
NHAI-AHM-DHO-PKG-22B,Ahmedabad-Dholera Expressway (SIR Greenfield) (Pkg 22B - Gujarat),Highways,Gujarat,Sadbhav Engineering,NHAI,MoRTH,2018-02-11,1268.3,52.1,57.9,-5.8,1.098,0,0.385,0.603,57.4,1.76,0.621,42.9,68.2,0.401,0.0,24,on_track,0
NHAI-DWR-EXP-PKG-01A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 1A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-13,1428.4,31.2,36.7,-5.5,1.178,0,0.286,0.295,94.7,1.01,0.688,43.1,70.0,0.545,0.0,66,at_risk,1
DFCCIL-WDFC-PKG-01B,Western DFC Rewari-Palwal Overpass Section (Pkg 1B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-13,1616.2,57.1,69.7,-12.6,1.237,0,0.267,0.33,70.7,1.5,0.762,43.2,59.4,0.477,0.0,65,at_risk,1
NHAI-DWR-EXP-PKG-02C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 2C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-15,1033.1,92.1,91.6,0.5,0.881,2,0.273,0.268,76.9,1.14,0.723,55.7,62.6,0.351,0.0,6,on_track,0
DFCCIL-WDFC-PKG-02D,Western DFC Rewari-Palwal Overpass Section (Pkg 2D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-15,678.3,40.8,50.2,-9.4,1.05,24,0.225,0.216,93.4,1.53,0.789,41.2,62.1,0.495,0.0,83,at_risk,1
NHAI-DWR-EXP-PKG-03E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 3E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-15,2540.0,46.7,49.8,-3.1,0.995,0,0.181,0.216,87.0,0.71,0.712,44.2,65.6,0.524,0.0,12,on_track,0
DFCCIL-WDFC-PKG-03F,Western DFC Rewari-Palwal Overpass Section (Pkg 3F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-16,1293.0,67.9,93.4,-25.5,1.486,12,0.21,0.321,64.6,0.83,0.873,37.9,55.3,0.459,0.0,386,delayed,2
NHAI-DWR-EXP-PKG-04G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 4G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-16,3673.3,44.2,47.2,-3.0,0.899,6,0.163,0.374,91.7,1.28,0.57,21.5,60.8,0.536,0.0,17,on_track,0
DFCCIL-WDFC-PKG-04H,Western DFC Rewari-Palwal Overpass Section (Pkg 4H - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-17,3901.7,99.8,92.3,7.5,1.044,2,0.185,0.304,75.8,1.25,0.858,27.1,67.9,0.396,0.0,16,on_track,0
NHAI-DWR-EXP-PKG-05A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 5A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-17,3541.8,95.4,90.9,4.5,0.993,2,0.31,0.298,96.1,1.4,0.692,49.9,66.4,0.439,0.0,6,on_track,0
DFCCIL-WDFC-PKG-05B,Western DFC Rewari-Palwal Overpass Section (Pkg 5B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-18,1433.2,74.0,88.9,-14.9,1.648,2,0.315,0.326,45.5,1.07,0.754,27.1,71.1,0.373,0.0,393,delayed,2
NHAI-DWR-EXP-PKG-06C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 6C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-19,1514.1,84.5,93.0,-8.5,1.246,6,0.221,0.382,72.6,1.84,0.656,37.5,63.9,0.468,0.0,84,at_risk,1
DFCCIL-WDFC-PKG-06D,Western DFC Rewari-Palwal Overpass Section (Pkg 6D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-20,4600.9,53.2,60.5,-7.3,1.087,0,0.222,0.319,87.5,1.84,0.82,39.4,66.9,0.366,0.0,12,on_track,0
NHAI-DWR-EXP-PKG-07E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 7E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-22,3261.7,34.7,35.2,-0.5,1.081,6,0.151,0.28,93.1,0.9,0.833,25.9,62.6,0.496,0.0,3,on_track,0
DFCCIL-WDFC-PKG-07F,Western DFC Rewari-Palwal Overpass Section (Pkg 7F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-23,2794.9,52.6,66.2,-13.6,1.186,2,0.267,0.34,48.3,2.17,0.718,30.6,73.0,0.439,0.0,67,at_risk,1
NHAI-DWR-EXP-PKG-08G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 8G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-23,2813.1,41.9,47.1,-5.2,1.281,6,0.245,0.309,79.6,0.96,0.695,45.1,59.2,0.363,0.0,65,at_risk,1
DFCCIL-WDFC-PKG-08H,Western DFC Rewari-Palwal Overpass Section (Pkg 8H - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-24,1179.2,36.9,43.7,-6.8,1.125,18,0.189,0.321,72.6,1.52,0.716,51.6,74.2,0.347,0.0,80,at_risk,1
NHAI-DWR-EXP-PKG-09A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 9A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-24,1013.8,49.7,52.4,-2.7,1.234,18,0.215,0.314,69.8,1.21,0.715,30.0,70.1,0.452,0.0,43,at_risk,1
DFCCIL-WDFC-PKG-09B,Western DFC Rewari-Palwal Overpass Section (Pkg 9B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-24,1189.3,79.0,82.1,-3.1,0.887,12,0.142,0.219,49.0,1.77,0.716,35.7,59.1,0.457,0.0,8,on_track,0
NHAI-DWR-EXP-PKG-10C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 10C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-24,3311.2,50.2,53.3,-3.1,1.012,2,0.219,0.331,86.4,1.2,0.734,29.6,67.8,0.436,0.0,14,on_track,0
DFCCIL-WDFC-PKG-10D,Western DFC Rewari-Palwal Overpass Section (Pkg 10D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-25,1861.2,55.6,59.4,-3.8,1.242,24,0.294,0.297,92.2,0.81,0.728,59.0,69.9,0.387,0.0,42,at_risk,1
NHAI-DWR-EXP-PKG-11E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 11E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-26,3399.3,21.7,36.9,-15.2,1.22,0,0.174,0.248,63.6,1.51,0.554,30.0,67.6,0.436,0.0,64,at_risk,1
DFCCIL-WDFC-PKG-11F,Western DFC Rewari-Palwal Overpass Section (Pkg 11F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-28,499.6,63.4,69.4,-6.0,1.21,0,0.213,0.29,68.9,1.78,0.739,64.3,65.7,0.392,0.0,39,at_risk,1
NHAI-DWR-EXP-PKG-12G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 12G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-02-28,3866.5,74.1,78.2,-4.1,1.165,2,0.299,0.174,89.5,1.01,0.747,34.0,59.8,0.36,0.0,2,on_track,0
DFCCIL-WDFC-PKG-12H,Western DFC Rewari-Palwal Overpass Section (Pkg 12H - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-02-28,713.0,61.1,92.4,-31.3,1.446,12,0.182,0.274,72.3,0.96,0.77,56.4,64.9,0.4,0.0,106,delayed,2
NHAI-DWR-EXP-PKG-13A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 13A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-01,1790.3,30.3,40.7,-10.4,1.254,12,0.205,0.356,71.6,1.88,0.66,44.8,74.8,0.431,0.0,66,at_risk,1
DFCCIL-WDFC-PKG-13B,Western DFC Rewari-Palwal Overpass Section (Pkg 13B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-01,618.6,35.0,51.1,-16.1,1.027,0,0.212,0.318,77.7,0.75,0.787,65.7,62.9,0.292,0.0,72,at_risk,1
NHAI-DWR-EXP-PKG-14C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 14C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-02,1678.7,49.5,58.0,-8.5,1.125,6,0.242,0.274,38.0,1.12,0.781,33.8,70.6,0.381,0.0,62,at_risk,1
DFCCIL-WDFC-PKG-14D,Western DFC Rewari-Palwal Overpass Section (Pkg 14D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-02,4123.5,79.1,75.7,3.4,1.097,2,0.26,0.259,84.8,2.14,0.9,42.9,57.5,0.26,0.0,6,on_track,0
NHAI-DWR-EXP-PKG-15E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 15E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-03,2071.9,33.7,34.4,-0.7,1.003,6,0.215,0.264,93.7,2.17,0.666,25.7,59.0,0.38,0.0,16,on_track,0
DFCCIL-WDFC-PKG-15F,Western DFC Rewari-Palwal Overpass Section (Pkg 15F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-04,909.8,29.1,36.3,-7.2,1.586,2,0.269,0.345,53.5,0.97,0.754,38.5,62.6,0.329,0.0,306,delayed,2
NHAI-DWR-EXP-PKG-16G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 16G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-05,5017.2,78.2,89.4,-11.2,1.284,6,0.231,0.254,60.5,2.12,0.657,51.6,64.4,0.532,0.0,77,at_risk,1
DFCCIL-WDFC-PKG-16H,Western DFC Rewari-Palwal Overpass Section (Pkg 16H - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-06,4720.7,72.8,80.7,-7.9,1.024,0,0.204,0.288,92.8,1.19,0.804,40.3,66.0,0.414,0.0,5,on_track,0
NHAI-DWR-EXP-PKG-17A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 17A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-07,3181.9,85.8,81.9,3.9,0.912,0,0.234,0.251,93.6,0.81,0.815,21.2,56.0,0.374,0.0,14,on_track,0
DFCCIL-WDFC-PKG-17B,Western DFC Rewari-Palwal Overpass Section (Pkg 17B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-08,3444.2,34.2,43.4,-9.2,1.16,12,0.266,0.34,94.5,2.17,0.794,51.4,55.2,0.464,0.0,70,at_risk,1
NHAI-DWR-EXP-PKG-18C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 18C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-08,3276.2,72.1,80.7,-8.6,1.104,2,0.197,0.268,63.3,2.05,0.852,32.2,55.7,0.541,0.0,82,at_risk,1
DFCCIL-WDFC-PKG-18D,Western DFC Rewari-Palwal Overpass Section (Pkg 18D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-09,2859.1,53.0,52.3,0.7,1.024,2,0.228,0.307,82.0,1.44,0.724,41.9,63.4,0.454,0.0,10,on_track,0
NHAI-DWR-EXP-PKG-19E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 19E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-09,2730.8,5.0,40.0,-36.4,1.395,12,0.158,0.214,36.5,1.46,0.725,50.1,71.7,0.458,0.0,432,delayed,2
DFCCIL-WDFC-PKG-19F,Western DFC Rewari-Palwal Overpass Section (Pkg 19F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-09,5079.2,90.7,93.9,-3.2,0.916,2,0.22,0.255,63.4,1.07,0.636,50.6,55.6,0.305,0.0,22,on_track,0
NHAI-DWR-EXP-PKG-20G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 20G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-10,729.1,52.1,49.4,2.7,0.998,0,0.312,0.318,77.1,1.74,0.638,52.6,66.2,0.438,0.0,3,on_track,0
DFCCIL-WDFC-PKG-20H,Western DFC Rewari-Palwal Overpass Section (Pkg 20H - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-10,810.2,40.5,55.8,-15.3,1.469,12,0.268,0.374,68.8,0.93,0.765,65.9,64.4,0.444,0.0,198,delayed,2
NHAI-DWR-EXP-PKG-21A,Dwarka Expressway Gurugram Sector 84-113 (Pkg 21A - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-10,2991.4,80.1,82.3,-2.2,1.232,6,0.238,0.363,88.3,1.19,0.687,37.5,72.8,0.511,0.0,71,at_risk,1
DFCCIL-WDFC-PKG-21B,Western DFC Rewari-Palwal Overpass Section (Pkg 21B - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-10,1895.3,75.5,88.7,-13.2,1.203,6,0.291,0.198,70.7,1.25,0.681,34.7,58.4,0.294,0.0,108,delayed,2
NHAI-DWR-EXP-PKG-22C,Dwarka Expressway Gurugram Sector 84-113 (Pkg 22C - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-12,1717.4,66.3,77.3,-11.0,1.257,6,0.316,0.334,50.4,1.38,0.571,47.8,74.1,0.511,0.0,35,at_risk,1
DFCCIL-WDFC-PKG-22D,Western DFC Rewari-Palwal Overpass Section (Pkg 22D - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-15,798.9,68.4,71.0,-2.6,1.057,2,0.24,0.354,44.7,0.66,0.969,46.6,59.8,0.345,0.0,18,on_track,0
NHAI-DWR-EXP-PKG-23E,Dwarka Expressway Gurugram Sector 84-113 (Pkg 23E - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-15,4745.3,71.4,78.5,-7.1,0.975,0,0.261,0.265,63.1,1.63,0.663,35.7,73.2,0.502,0.0,27,on_track,0
DFCCIL-WDFC-PKG-23F,Western DFC Rewari-Palwal Overpass Section (Pkg 23F - Haryana),Railways,Haryana,L&T Construction,DFCCIL,Ministry of Railways,2018-03-16,2794.5,39.2,43.3,-4.1,0.925,2,0.176,0.302,48.9,0.97,0.771,42.7,68.1,0.433,0.0,13,on_track,0
NHAI-DWR-EXP-PKG-24G,Dwarka Expressway Gurugram Sector 84-113 (Pkg 24G - Haryana),Highways,Haryana,L&T Construction,NHAI,MoRTH,2018-03-16,4485.0,54.6,57.8,-3.2,1.263,6,0.251,0.34,94.3,2.06,0.687,27.9,69.8,0.478,0.0,70,at_risk,1
